"valence","tempo","duration_ms"
0.594,167.072,210766
0.641,72.738,228042
0.707,134.214,193607
0.647,123.799,190681
0.623,122.417,195905
0.674,81.026,202199
0.552,57.323,271702
0.679,61.284,241122
0.566,80.25,295701
0.662,79.767,158302
0.616,165.226,176396
0.692,120.614,100119
0.571,49.064,188010
0.698,119.948,161563
0.726,68.317,156503
0.213,116.095,591307
0.395,128.876,157227
0.285,115.078,207733
0.243,84.645,150920
0.089,97.758,240680
0.141,75.16,261267
0.205,98.969,733773
0.057,81.915,267800
0.215,77.106,478147
0.334,132.078,251533
0.166,132.768,210187
0.112,97.183,375933
0.159,91.819,326493
0.49,143.076,290147
0.278,137.308,184413
0.115,129.328,237267
0.69,130.517,136640
0.258,127.432,298800
0.137,83.518,191000
0.267,117.359,205973
0.691,129.94,170267
0.388,130.758,127413
0.157,88.666,233653
0.643,139.997,154827
0.843,121.176,259200
0.762,182.826,276400
0.186,83.149,182427
0.171,134.886,305227
0.157,81.687,156400
0.695,95.413,98267
0.396,80.301,149400
0.0857,74.271,207253
0.346,120.791,161160
0.12,76.108,115960
0.107,85.992,290760
0.585,110.117,208027
0.342,202.255,134427
0.039,130.259,293000
0.566,198,343733
0.238,142.363,236373
0.471,111.407,136747
0.116,103.589,303960
0.966,142.099,137467
0.108,174.248,256413
0.87,149.657,124000
0.945,163.122,138867
0.306,85.89,218027
0.893,153.962,180427
0.51,144.284,162147
0.555,116.066,119707
0.214,82.885,232960
0.928,176.701,118000
0.686,111.341,127693
0.761,125.459,114467
0.344,95.053,178107
0.826,121.021,150400
0.866,185.212,156093
0.237,82.13,217160
0.456,115.322,149573
0.163,125.776,164600
0.396,78.972,122600
0.455,144.423,168040
0.713,129.74,182720
0.543,101.899,222333
0.039,75.621,224827
0.0942,136.052,256467
0.153,127.875,236080
0.559,134.662,145360
0.156,80.527,156533
0.191,67.396,264693
0.784,200.815,180440
0.0952,77.109,200480
0.131,76.329,167347
0.386,174.008,313185
0.0986,174.007,333909
0.444,171.956,316163
0.0383,173.962,363898
0.169,174.058,355872
0.362,168.585,318760
0.379,103.988,151467
0.635,171.618,197040
0.631,144.022,168693
0.391,103.208,82733
0.763,113.714,199133
0.42,156.226,333267
0.27,90.603,111267
0.663,113.045,214667
0.658,170.053,123773
0.69,166.39,41200
0.699,128.892,206267
0.203,100.692,181093
0.632,95.982,193907
0.732,76.228,156293
0.496,86.383,123733
0.399,107.25,99373
0.141,135.02,174493
0.521,103.481,224240
0.643,90.573,125667
0.52,101.949,129533
0.398,121.761,113360
0.267,86.2,257800
0.159,82.075,207107
0.332,141.695,159960
0.428,85.667,94933
0.625,179.379,169093
0.515,131.431,195107
0.485,99.639,241600
0.152,73.976,241213
0.61,134.008,255880
0.585,150.985,228760
0.671,148.073,130773
0.504,92.69,216200
0.685,82.009,226587
