"loudness","mode","speechiness"
-5.399,1,0.0727
-5.764,1,0.188
-5.424,1,0.483
-5.83,0,0.237
-6.729,1,0.0701
-5.947,1,0.0727
-6.032,1,0.175
-6.571,0,0.0883
-7.363,1,0.044
-6.12,1,0.0676
-6.687,1,0.0982
-5.901,1,0.143
-7.438,0,0.121
-6.323,1,0.257
-7.137,1,0.173
-9.563,1,0.0429
-6.965,1,0.128
-7.755,1,0.128
-7.554,1,0.115
-9.031,0,0.134
-8.578,1,0.0551
-8.53,1,0.0953
-4.894,1,0.0315
-5.149,1,0.0586
-5.073,0,0.0308
-6.417,1,0.024
-4.554,1,0.0347
-5.759,1,0.0266
-4.336,0,0.0407
-3.531,1,0.0339
-5.819,1,0.0506
-7.083,1,0.0348
-6.515,1,0.034
-7.851,0,0.0393
-6.208,1,0.0244
-6.72,1,0.0403
-5.889,1,0.0749
-7.838,0,0.0431
-8.404,1,0.0391
-8.674,1,0.0368
-6.982,1,0.024
-5.386,0,0.044
-10.32,0,0.0526
-8.087,0,0.0277
-9.912,1,0.125
-7.254,1,0.0623
-7.063,1,0.0394
-7.903,1,0.0546
-14.984,1,0.0301
-12.711,0,0.0344
-13.338,1,0.0293
-9.104,1,0.0291
-13.376,1,0.0261
-17.002,1,0.0463
-13.8,1,0.0309
-13.13,1,0.0311
-13.334,1,0.0428
-18.2,0,0.03
-6.884,1,0.0493
-9.917,1,0.0262
-9.805,0,0.0433
-13.424,0,0.0367
-11.448,1,0.0323
-9.971,0,0.0296
-11.737,0,0.0292
-16.816,1,0.246
-11.278,1,0.0373
-10.468,1,0.0361
-14.459,1,0.0287
-9.097,0,0.0284
-11.675,0,0.0271
-12.633,1,0.0324
-7.587,1,0.0359
-10.983,1,0.0307
-12.271,0,0.0273
-10.096,0,0.0273
-11.98,0,0.0352
-7.853,1,0.0276
-9.579,0,0.0358
-9.532,1,0.0347
-13.496,1,0.0332
-6.69,1,0.0274
-12.105,1,0.0294
-11.758,1,0.0323
-14.764,1,0.0354
-12.071,1,0.0315
-12.139,1,0.0331
-16.768,1,0.0693
-5.467,1,0.0599
-6.709,0,0.0561
-7.544,1,0.0432
-6.645,1,0.0936
-5.672,1,0.0453
-6.494,1,0.0558
-6.58,1,0.0782
-6.092,1,0.0553
-6.06,1,0.0422
-6.154,1,0.0723
-6.232,1,0.0521
-6.109,1,0.0905
-6.449,1,0.203
-7.086,1,0.0893
-8.034,0,0.0856
-6.53,0,0.0576
-6.916,1,0.186
-5.955,1,0.0372
-7.982,1,0.0474
-5.349,0,0.0786
-9.673,0,0.178
-8.849,0,0.15
-18.506,0,0.114
-12.366,1,0.107
-11.523,1,0.0596
-9.572,0,0.114
-12.985,1,0.0389
-12.623,0,0.0786
-10.066,0,0.0388
-10.067,1,0.0514
-9.892,0,0.0708
-14.051,0,0.0684
-7.436,1,0.0905
-9.442,0,0.141
-11.695,0,0.237
-8.525,0,0.0409
-10.374,1,0.0361
-10.918,0,0.0556
-17.856,1,0.0414
-15.361,1,0.0405
-9.241,1,0.148
-11.611,1,0.0878
-12.057,1,0.136
-12.658,1,0.11
-10.953,1,0.126
-8.698,1,0.172
-11.922,1,0.0391
-11.024,0,0.105
-15.375,0,0.0397
-15.942,0,0.268
-13.747,0,0.112
-13.944,1,0.107
-13.678,1,0.0815
-15.349,1,0.026
-11.675,0,0.144
-15.267,1,0.0907
-14.086,1,0.037
-14.073,0,0.0707
-11.943,1,0.104
-15.727,0,0.0427
-10.678,1,0.0575
-18.172,0,0.0967
-10.523,0,0.0524
-15.624,1,0.037
-8.355,1,0.0465
-22.532,1,0.0414
-16.359,1,0.0375
-10.247,0,0.0861
-12.367,0,0.198
-16.943,1,0.0428
-11.88,1,0.0886
-15.051,1,0.804
-12.044,0,0.242
-13.79,0,0.0717
-14.574,1,0.293
-15.847,0,0.0541
-25.189,1,0.717
-14.379,0,0.135
-16.53,0,0.0542
-15.91,1,0.0472
-14.049,1,0.0495
-4.981,1,0.0658
-4.561,1,0.105
-5.093,1,0.0527
-4.591,0,0.0939
-5.314,1,0.0824
-4.46,1,0.121
-5.147,0,0.103
-5.064,0,0.0448
-6.954,0,0.0482
-4.548,1,0.0594
-4.639,1,0.0435
-5.036,1,0.0715
-4.791,0,0.0381
-4.894,0,0.0644
-6.805,1,0.0947
-10.302,0,0.0593
-8.404,0,0.0331
-9.987,0,0.0533
-9.039,1,0.03
-11.587,1,0.0307
-7.72,0,0.0329
-9.369,0,0.039
-9.754,1,0.0543
-9.62,0,0.0283
-6.646,1,0.0483
-6.451,1,0.0395
-5.798,1,0.0468
-6.905,0,0.129
-8.188,1,0.0293
-5.996,1,0.0744
-6.21,0,0.089
-6.204,1,0.041
-7.176,1,0.101
-5.889,1,0.0482
-5.885,1,0.0284
-4.913,1,0.0737
-6.381,1,0.0465
-5.348,1,0.0524
-5.707,1,0.123
-5.048,1,0.271
-8.755,0,0.0556
-7.145,1,0.108
-8.842,0,0.0674
-10.349,1,0.0308
-6.275,1,0.0629
-5.515,0,0.13
-5.56,1,0.0513
-5.051,1,0.0818
-7.988,1,0.0431
-8.473,1,0.0461
-6.494,1,0.0315
-7.571,0,0.0427
-6.806,1,0.088
-7.318,1,0.0602
-6.586,1,0.0703
-8.995,0,0.0553
-17.455,0,0.0992
-6.942,1,0.0369
-8.283,0,0.0463
-8.456,1,0.0478
-9.615,1,0.0267
-12.547,0,0.0929
-6.329,1,0.0622
-6.105,0,0.201
-6.392,0,0.256
-9.008,1,0.126
-7.486,1,0.0405
-6.033,0,0.17
-7.752,1,0.0381
-9.32,1,0.029
-5.084,1,0.275
-8.048,1,0.0637
-13.395,1,0.815
-6.521,1,0.0355
-6.292,1,0.037
-6.545,0,0.0419
-5.774,1,0.0411
-6.4,1,0.0408
-6.931,1,0.0429
-6.328,1,0.0451
-7.779,0,0.0411
-8.68,1,0.062
-6.049,0,0.0778
-6.757,1,0.0347
-8.838,1,0.0476
-7.205,1,0.0276
-4.255,1,0.0294
-7.956,1,0.0318
-6.812,1,0.0292
-5.437,1,0.0274
-7.109,1,0.0306
-5.894,1,0.0259
-8.507,1,0.0296
-6.22,1,0.0226
-5.056,1,0.0245
-6.207,1,0.0255
-9.7,1,0.0271
-6.136,1,0.0239
-6.278,1,0.0245
-4.343,1,0.0289
-6.566,1,0.029
-6.023,1,0.0396
-5.08,1,0.0278
-3.825,1,0.0412
-7.333,1,0.0242
-7.263,1,0.0247
-7.48,1,0.027
-6.29,1,0.0374
-4.582,1,0.033
-5.203,1,0.0324
-3.749,1,0.0327
-5.018,1,0.0288
-6.897,1,0.027
-8.866,1,0.028
-9.242,1,0.0273
-8.113,0,0.031
-9.252,0,0.0331
-9.01,0,0.0525
-7.233,0,0.0358
-8.931,1,0.0298
-8.709,0,0.0243
-9.708,1,0.0256
-9.218,0,0.0287
-9.975,1,0.0474
-13.793,1,0.0376
-8.423,1,0.0399
-10.244,1,0.03
-8.278,0,0.0271
-9.142,1,0.0329
-8.255,0,0.132
-16.842,1,0.0463
-20.332,1,0.0452
-19.246,1,0.0352
-14.75,0,0.102
-20.047,1,0.28
-18.367,1,0.0411
-19.187,1,0.0474
-17.449,1,0.0553
-17.83,1,0.0357
-17.479,1,0.0474
-10.796,0,0.0681
-10.58,0,0.0565
-12.574,1,0.0358
-13.118,1,0.0338
-11.172,1,0.0402
-8.93,1,0.0397
-12.342,1,0.231
-9.048,1,0.0475
-15.71,1,0.0401
-14.583,1,0.0286
-11.625,1,0.0727
-11.522,1,0.033
-15.086,1,0.0339
-11.78,0,0.0269
-14.936,1,0.0279
-11.689,0,0.0771
-15.522,1,0.0293
-14.405,1,0.0528
-13.563,1,0.0286
-17.467,1,0.0462
-13.461,1,0.0432
-2.724,0,0.258
-3.106,1,0.17
-3.51,1,0.0557
-10.63,0,0.0792
-10.615,0,0.0935
-12.125,1,0.0379
-12.6,1,0.0338
-11.519,0,0.14
-12.34,1,0.0336
-11.893,0,0.0532
-11.87,0,0.034
-10.447,0,0.0785
-12.147,1,0.0556
-8.35,1,0.0558
-9.972,1,0.0586
-9.421,1,0.0742
-10.034,1,0.0553
-12.255,1,0.0688
-10.315,0,0.0673
-9.808,1,0.124
-12.025,1,0.045
-10.228,0,0.0881
-9.591,1,0.0444
-14.807,0,0.0502
-9.594,1,0.0964
-14.838,0,0.0675
-18.1,1,0.0611
-10.601,0,0.154
-19.573,1,0.931
-19.177,1,0.15
-19.457,0,0.504
-12.648,1,0.872
-17.234,1,0.206
-18.638,1,0.059
-21.799,1,0.0686
-12.289,0,0.739
-10.789,1,0.058
-9.683,1,0.0562
-9.789,1,0.0535
-8.555,1,0.0354
-10.236,1,0.105
-10.642,1,0.0515
-8.259,1,0.0848
-10.736,1,0.0338
-7.399,0,0.168
-11.565,1,0.0486
-9.127,1,0.0373
-9.041,1,0.0332
-9.584,1,0.0617
-11.577,0,0.0319
-7.255,1,0.024
-12.352,1,0.0321
-7.962,1,0.0349
-11.997,0,0.0377
-11.5,0,0.0282
-7.736,0,0.0309
-9.772,1,0.0269
-12.627,0,0.0388
-11.861,1,0.0248
-14.604,1,0.0556
-10.069,1,0.0294
-8.413,1,0.0335
-13.528,1,0.0359
-12.986,1,0.0329
-10.12,1,0.0273
-14.786,1,0.0315
-10.6,1,0.0304
-15.917,1,0.0463
-10.893,0,0.0363
-10.416,1,0.036
-14.612,1,0.0528
-7.45,1,0.041
-8.219,1,0.0356
-11.11,0,0.0399
-9.812,0,0.0347
-12.315,1,0.0624
-12.015,0,0.0469
-10.02,1,0.0283
-14.967,0,0.054
-16.915,1,0.113
-16.632,0,0.0343
-9.503,1,0.0301
-15.829,1,0.0271
-15.49,0,0.0299
-14.384,1,0.0324
-16.611,1,0.0356
-11.645,1,0.0279
-18.087,1,0.0439
-10.892,1,0.0253
-17.052,1,0.0257
-16.71,1,0.0339
-13.504,1,0.0306
-15.986,1,0.035
-13.576,1,0.055
-17.864,0,0.036
-21.954,1,0.0397
-9.974,0,0.0657
-15.798,1,0.0641
-13.884,1,0.0559
-15.59,0,0.0818
-14.969,1,0.0686
-17.652,0,0.111
-14.004,1,0.0768
-16.116,0,0.117
-11.472,0,0.0539
-15.003,1,0.0467
-8.737,1,0.0263
-11.724,1,0.0493
-10.882,1,0.027
-20.136,1,0.0357
-13.459,1,0.0258
-9.213,1,0.0256
-17.228,0,0.0323
-12.104,1,0.0376
-14.916,1,0.055
-14.044,1,0.0345
-6.986,1,0.274
-9.278,1,0.0278
-9.354,1,0.0301
-11.036,1,0.027
-11.28,1,0.0337
-16.732,1,0.0347
-10.436,1,0.0549
-15.199,1,0.0394
-7.953,1,0.029
-15.509,0,0.0377
-11.281,1,0.0291
-10.906,1,0.0528
-11.416,1,0.0355
-11.75,0,0.0397
-9.578,0,0.112
-9.673,1,0.0537
-10.073,1,0.0499
-9.355,1,0.0853
-10.108,1,0.0412
-10.09,1,0.0339
-9.055,1,0.0344
-5.13,1,0.0381
-7.064,1,0.0321
-5.152,1,0.0429
-6.976,1,0.0372
-7.165,1,0.041
-5.4,1,0.0388
-6.334,1,0.0385
-5.243,0,0.0876
-5.619,0,0.033
-5.462,1,0.0972
-3.826,1,0.109
-5.754,0,0.0367
-2.584,1,0.116
-2.752,0,0.0909
-3.234,1,0.0814
-4.859,1,0.0654
-4.546,0,0.0472
-7.194,0,0.0423
-10.711,0,0.0452
-13.553,1,0.0411
-9.849,1,0.0307
-6.647,1,0.0442
-5.762,1,0.0588
-4.782,0,0.0884
-6.21,1,0.0266
-16.398,1,0.0344
-8.058,1,0.0293
-19.19,0,0.0379
-18.994,0,0.0427
-22.245,0,0.0355
-18.013,1,0.0455
-17.454,0,0.0345
-21.359,1,0.0434
-17.329,0,0.0333
-22.103,1,0.0527
-17.868,0,0.0354
-16.844,0,0.0367
-13.147,1,0.0263
-19.685,0,0.0476
-10.392,0,0.0428
-16.243,1,0.0326
-15.75,1,0.0404
-11.328,1,0.0385
-17.691,0,0.0324
-12.42,1,0.0333
-14.803,1,0.0296
-10.783,1,0.0451
-11.902,0,0.0527
-14.341,1,0.0279
-13.673,1,0.0269
-19.491,1,0.034
-14.815,1,0.0308
-17.274,1,0.0277
-14.219,1,0.0362
-13.314,1,0.0368
-9.292,1,0.0793
-18.213,1,0.0282
-13.769,1,0.0306
-17.071,1,0.0338
-12.233,1,0.0658
-14.172,1,0.03
-14.545,0,0.051
-15.336,1,0.028
-20.55,1,0.0765
-10.951,1,0.042
-10.644,0,0.0581
-10.791,1,0.0484
-8.5,1,0.0377
-11.603,1,0.061
-10.676,1,0.0388
-10.992,0,0.0428
-11.139,1,0.099
-10.852,0,0.0655
-11.417,0,0.0383
-8.434,1,0.0423
-11.665,1,0.0667
-14.043,1,0.0334
-14.513,1,0.0344
-10.045,0,0.0289
-13.491,1,0.0313
-11.134,1,0.035
-12.291,1,0.0326
-10.257,1,0.0291
-12.651,1,0.0383
-10.195,1,0.0309
-10.922,1,0.0322
-20.005,1,0.0393
-8.676,0,0.518
-7.844,0,0.0419
-12.495,1,0.0258
-10.373,1,0.0314
-7.525,1,0.0263
-6.593,1,0.0278
-8.552,0,0.0322
-9.928,1,0.031
-17.319,1,0.0329
-9.214,1,0.0242
-6.638,0,0.0309
-12.581,1,0.0292
-7.241,1,0.0259
-5.626,1,0.0297
-6.297,0,0.0354
-7.028,1,0.0238
-4.77,0,0.0258
-8.181,0,0.0285
-5.996,1,0.0301
-5.495,1,0.0282
-9.235,1,0.0271
-7.421,1,0.0284
