"loudness","mode","speechiness"
-8.912,1,0.034
-12.98,1,0.0466
-5.433,1,0.0369
-5.583,0,0.033
-6.601,0,0.0324
-6.885,1,0.0307
-5.743,1,0.0275
-6.126,1,0.0271
-6.499,1,0.04
-5.99,0,0.0504
-6.663,1,0.0318
-8.133,1,0.0346
-4.776,1,0.0335
-4.879,1,0.0317
-4.856,1,0.0306
-6.17,1,0.0358
-5.94,1,0.0473
-4.409,1,0.231
-9.459,0,0.041
-4.482,1,0.222
-9.579,1,0.0379
-10.042,0,0.0402
-4.833,1,0.0621
-9.818,0,0.068
-4.995,1,0.0532
-9.563,0,0.0347
-6.981,1,0.0404
-4.631,1,0.0555
-10.195,1,0.034
-6.403,1,0.0343
-6.173,1,0.0386
-6.578,1,0.0331
-7.432,1,0.0555
-4.686,1,0.0794
-5.507,0,0.054
-15.209,1,0.0374
-15.053,1,0.0519
-13.201,0,0.0827
-27.349,0,0.0755
-16.371,1,0.041
-14.853,0,0.0653
-14.298,0,0.0536
-14.645,1,0.0284
-21.344,1,0.0472
-18.925,1,0.0529
-19.767,0,0.0362
-13.352,0,0.0511
-24.144,1,0.0299
-18.525,0,0.0417
-15.899,1,0.0479
-18.472,1,0.0481
-17.084,1,0.0339
-21.102,1,0.04
-19.486,1,0.0402
-16.807,1,0.0424
-29.72,1,0.044
-14.088,1,0.0586
-14.526,1,0.0842
-14.028,1,0.0315
-15.878,0,0.0402
-5.121,1,0.0689
-4.925,0,0.058
-4.719,0,0.073
-3.697,0,0.0566
-4.687,0,0.0884
-5.665,0,0.0478
-5.978,0,0.0673
-5.325,1,0.132
-4.652,0,0.0423
-26.062,1,0.0694
-23.291,1,0.0816
-29.057,1,0.0946
-21.539,1,0.0689
-22.239,1,0.066
-29.315,1,0.0751
-21.381,1,0.0545
-22.711,1,0.0587
-25.221,1,0.0817
-23.742,1,0.108
-22.224,1,0.0585
-32.235,1,0.153
-2.139,1,0.112
-2.476,0,0.0676
-4.099,1,0.0375
-3.656,1,0.033
-5.177,1,0.0301
-2.603,1,0.0328
-3.041,1,0.0549
-2.656,1,0.03
-3.912,1,0.0476
-4.327,1,0.0379
-3.579,0,0.0771
-3.629,1,0.0386
-4.983,1,0.0995
-22.862,1,0.0513
-24.636,1,0.0523
-27.908,1,0.0559
-27.98,1,0.0483
-24.224,1,0.056
-29.406,1,0.0447
-23.21,1,0.0564
-23.178,1,0.0467
-23.808,1,0.0469
-22.777,0,0.0529
-23.927,0,0.0459
-27.299,0,0.0603
-22.927,1,0.0527
-26.996,1,0.0448
-26.615,1,0.0531
-25.139,1,0.0476
-22.168,0,0.0746
-23.678,0,0.0481
-26.157,1,0.0458
-26.469,1,0.0422
-24.802,0,0.0459
-26.379,0,0.0767
-26.118,1,0.0505
-21.469,0,0.0473
-20.854,1,0.0377
-24.925,1,0.0549
-24.91,1,0.0456
-29.004,0,0.0433
-26.583,0,0.0614
-25.817,0,0.0494
-21.095,1,0.0324
-24.556,0,0.0484
-24.08,1,0.0572
-25.601,1,0.0557
-21.865,0,0.0529
-25.949,0,0.0535
-17.732,1,0.0323
-28.582,0,0.0517
-25.474,1,0.0566
-22.085,0,0.0441
-21.702,0,0.043
-24.234,1,0.0615
-17.316,1,0.0352
-26.978,0,0.0434
-30.88,0,0.0479
-27.504,1,0.0456
-23.901,0,0.0807
-28.185,0,0.0471
-22.773,1,0.061
-23.504,0,0.0408
-24.401,1,0.0479
-24.817,1,0.059
-26.919,1,0.0468
-25.451,0,0.0576
-23.96,0,0.0396
-24.119,0,0.0423
-24.194,0,0.0717
-25.633,1,0.0515
-23.11,0,0.0368
-25.029,0,0.0779
-22.263,1,0.0535
-20.067,1,0.0461
-24.315,0,0.0535
-2.648,1,0.0992
-4.224,1,0.0428
-6.105,0,0.0312
-4.465,1,0.0428
-2.552,0,0.0363
-6.357,1,0.028
-6.291,1,0.0458
-6.731,1,0.0381
-9.13,1,0.0319
-9.287,1,0.0297
-12,1,0.0487
-6.847,1,0.0524
-6.844,1,0.0299
-6.726,1,0.0869
-8.399,1,0.0333
-6.947,1,0.078
-5.513,1,0.152
-6.261,1,0.0461
-6.539,1,0.107
-7.837,1,0.0304
-6.236,1,0.0707
-10.217,1,0.0493
-3.791,1,0.0917
-3.983,1,0.0408
-3.255,1,0.042
-3.927,1,0.0411
-5.334,1,0.055
-4.108,1,0.0811
-4.008,1,0.114
-4.669,1,0.037
-6.339,1,0.0676
-4.143,1,0.0404
-3.73,1,0.0411
-4.116,1,0.211
-6.995,1,0.0695
-3.897,1,0.0329
-7.799,1,0.0392
-3.362,1,0.0418
-4.356,0,0.236
-5.539,1,0.0838
-4.717,1,0.0348
-4.24,1,0.0431
-4.84,1,0.0554
-3.701,0,0.185
-7.069,1,0.0794
-5.318,1,0.0274
-5.421,1,0.0882
-4.011,1,0.152
-3.4,0,0.0652
-3.818,1,0.0453
-4.756,0,0.115
-5.117,0,0.0417
-3.426,1,0.432
-3.596,1,0.298
-3.796,1,0.0963
-4.049,1,0.186
-2.202,0,0.204
-3.201,0,0.193
-5.25,0,0.302
-6.761,1,0.0274
-11.262,1,0.045
-7.683,1,0.0385
-8.619,1,0.027
-15.531,1,0.0297
-7.262,1,0.0842
-11.189,1,0.0867
-6.268,0,0.03
-9.38,1,0.0429
-7.271,0,0.0269
-11.59,0,0.043
-7.531,0,0.038
-7.674,1,0.0327
-5.674,0,0.139
-8.834,0,0.0341
-5.923,0,0.0285
-7.453,0,0.0472
-9.332,1,0.0345
-5.794,0,0.0955
-6.76,1,0.0312
-14.029,1,0.0372
