"loudness","mode","speechiness"
-11.498,0,0.0442
-9.392,1,0.0555
-11.331,0,0.0332
-8.641,1,0.0431
-13.524,1,0.032
-6.214,1,0.024
-8.452,1,0.0345
-8.026,1,0.0253
-8.987,1,0.0377
-10.941,1,0.0313
-5.167,1,0.151
-12.472,1,0.0293
-3.592,1,0.0312
-9.723,1,0.0406
-14.84,1,0.0383
-6.687,0,0.0858
-6.864,1,0.0265
-6.891,1,0.0333
-5.798,1,0.0618
-6.988,1,0.0517
-9.722,1,0.0293
-5.598,1,0.0419
-9.927,1,0.0336
-10.364,1,0.0269
-15.056,0,0.0607
-9.812,1,0.0451
-10.941,1,0.0371
-6.424,1,0.029
-5.208,1,0.129
-9.236,0,0.0591
-6.777,1,0.036
-12.158,0,0.0276
-18.026,1,0.0384
-18.351,1,0.0546
-7.299,0,0.0714
-7.937,1,0.0336
-6.534,1,0.0818
-18.598,1,0.0413
-14.056,1,0.0495
-10.691,1,0.119
-12.128,1,0.054
-13.232,1,0.0857
-4.596,1,0.0894
-13.543,1,0.0277
-7.062,0,0.261
-11.146,1,0.0367
-7.29,1,0.0324
-12.455,1,0.0302
-8.435,1,0.0369
-7.013,1,0.0287
-17.923,1,0.0661
-9.369,1,0.0487
-3.592,1,0.0312
-7.444,1,0.0317
-8.444,1,0.0479
-14.152,0,0.0415
-9.004,1,0.0383
-10.433,1,0.039
-15.056,0,0.0607
-5.333,1,0.029
-13.967,1,0.0306
-7.212,1,0.0285
-9.812,1,0.0452
-11.677,1,0.0329
-8.773,1,0.0317
-1.875,0,0.185
-5.134,0,0.145
-14.084,1,0.0486
-7.584,1,0.0642
-3.746,1,0.0399
-3.64,1,0.078
-12.153,1,0.0393
-10.476,1,0.0366
-4.897,0,0.0728
-9.015,1,0.044
-9.312,1,0.0309
-2.14,1,0.0665
-10.443,0,0.0288
-12.886,1,0.0344
-12.457,1,0.037
-6.448,1,0.0296
-7.066,1,0.0267
-18.236,1,0.0438
-4.654,1,0.037
-6.205,0,0.0358
-13.532,1,0.033
-16.485,1,0.0305
-6.029,0,0.036
-10.733,1,0.0464
-11.686,0,0.0305
-4.594,1,0.0282
-10.472,0,0.0289
-14.001,1,0.0292
-5.208,1,0.129
-7.04,1,0.0264
-14.34,1,0.0425
-4.503,0,0.251
-5.061,1,0.289
-7.634,0,0.0328
-5.359,1,0.261
-6.152,1,0.0484
-5.029,1,0.0897
-5.688,1,0.0391
-4.656,1,0.116
-8.784,1,0.0326
-5.265,0,0.508
-3.906,1,0.082
-10.231,1,0.0298
-7.29,1,0.0324
-12.455,1,0.0302
-8.435,1,0.0369
-7.013,1,0.0287
-17.923,1,0.0661
-9.369,1,0.0487
-3.592,1,0.0312
-7.444,1,0.0317
-8.444,1,0.0479
-14.152,0,0.0415
-9.004,1,0.0383
-10.433,1,0.039
-15.056,0,0.0607
-5.333,1,0.029
-13.967,1,0.0306
-7.212,1,0.0285
-9.812,1,0.0452
-11.677,1,0.0329
-8.773,1,0.0317
-1.875,0,0.185
-5.134,0,0.145
-14.084,1,0.0486
-7.584,1,0.0642
-3.746,1,0.0399
-3.64,1,0.078
-12.153,1,0.0393
-10.476,1,0.0366
-4.897,0,0.0728
-9.015,1,0.044
-9.312,1,0.0309
-2.14,1,0.0665
-10.443,0,0.0288
-12.886,1,0.0344
-12.457,1,0.037
-6.448,1,0.0296
-7.066,1,0.0267
-18.236,1,0.0438
-4.654,1,0.037
-6.205,0,0.0358
-13.532,1,0.033
-16.485,1,0.0305
-6.029,0,0.036
-10.733,1,0.0464
-11.686,0,0.0305
-4.594,1,0.0282
-10.472,0,0.0289
-14.001,1,0.0292
-5.208,1,0.129
-7.04,1,0.0264
-14.34,1,0.0425
-8.878,1,0.099
-14.028,1,0.0276
-10.316,1,0.0405
-8.187,1,0.191
-11.245,1,0.0283
-10.78,0,0.0323
-12.082,1,0.0319
-9.555,1,0.03
-9.074,0,0.0367
-8.945,1,0.081
-10.182,1,0.0322
-9.477,1,0.108
-12.268,0,0.03
-13.324,1,0.0313
-12.755,1,0.031
-12.4,1,0.0358
-9.627,1,0.029
-9.177,1,0.0291
-9.969,0,0.0336
-10.339,0,0.0368
-23.404,0,0.945
-24.781,1,0.926
-25.21,1,0.944
-24.053,0,0.929
-25.393,0,0.952
-24.412,1,0.954
-26.431,1,0.902
-26.68,0,0.917
-23.756,0,0.921
-23.132,0,0.954
-24.541,0,0.949
-6.363,1,0.033
-8.435,1,0.0369
-14.056,1,0.0495
-15.056,0,0.0607
-10.433,1,0.039
-9.812,1,0.0451
-11.677,1,0.0329
-8.926,1,0.0382
-7.584,1,0.0642
-10.365,0,0.029
-10.941,1,0.0371
-10.476,1,0.0366
-8.513,1,0.0315
-3.764,1,0.04
-12.836,1,0.0385
-6.424,1,0.029
-7.063,1,0.0268
-10.364,1,0.0269
-10.691,1,0.119
-12.886,1,0.0344
-11.851,1,0.0265
-12.128,1,0.054
-22.121,1,0.0427
-10.579,1,0.0314
-13.701,1,0.0521
-10.846,1,0.028
-3.984,1,0.048
-2.14,1,0.0665
-12.272,1,0.0307
-14.709,1,0.0381
-11.577,1,0.0302
-8.712,1,0.0361
-10.823,1,0.0411
-9.841,1,0.0263
-21.508,1,0.0396
-4.563,1,0.0662
-9.931,1,0.0239
-14.056,1,0.0266
-6.058,0,0.0363
-16.449,1,0.0327
-5.443,0,0.133
-14.951,1,0.0305
-19.924,1,0.0454
-7.474,1,0.0452
-7.048,0,0.0376
-13.942,1,0.0371
-8.616,1,0.029
-9.615,1,0.0328
-10.784,1,0.0627
-15.399,0,0.0362
-10.312,1,0.0345
-12.446,0,0.0341
-13.023,1,0.19
-9.608,0,0.0354
-5.371,0,0.0434
-4.459,1,0.041
-5.776,1,0.0822
-3.996,0,0.0468
-5.297,0,0.0608
-4.594,0,0.0581
-4.447,0,0.0493
-4.522,0,0.038
-5.03,1,0.0834
-5.861,0,0.246
-6.442,0,0.0974
-6.001,0,0.139
-4.879,1,0.0389
-5.555,1,0.0424
-4.325,0,0.0658
-4.836,1,0.0448
-6.794,1,0.0298
-25.823,0,0.845
-23.834,1,0.934
-23.605,0,0.942
-22.529,1,0.95
-23.439,0,0.912
-23.614,0,0.928
-24.627,1,0.933
-25.818,1,0.942
-24.75,1,0.943
-24.877,0,0.896
-24.119,0,0.922
-24.837,1,0.925
-23.68,0,0.933
-24.365,0,0.9
-25.039,0,0.908
-24.709,0,0.955
-16.628,0,0.878
-18.714,0,0.913
-20.086,0,0.812
-18.165,0,0.831
-18.186,0,0.84
-19.913,0,0.951
-17.445,0,0.954
-16.948,1,0.95
-16.632,0,0.921
-16.016,1,0.96
-17.756,0,0.941
-16.818,0,0.949
-28.04,0,0.956
-28.774,1,0.942
-29.415,0,0.933
-30.217,0,0.867
-29.388,0,0.91
-29.402,1,0.926
-30.414,1,0.913
-30.899,0,0.902
-30.038,1,0.893
-30.35,1,0.894
-30.4,1,0.933
-28.783,0,0.682
-28.419,0,0.926
-28.152,1,0.857
-29.635,1,0.919
-14.664,1,0.0653
-17.669,1,0.0407
-15.199,0,0.0556
-18.308,1,0.0435
-22.996,1,0.0397
-14.131,0,0.0359
-23.091,1,0.0912
-22.703,1,0.038
-21.571,1,0.0414
-20.057,1,0.0377
-17.444,1,0.037
-14.942,1,0.0372
-13.194,1,0.0332
-9.668,1,0.0288
-21.37,0,0.0445
-10.914,0,0.0273
-13.248,1,0.0308
-10.488,1,0.0317
-14.244,0,0.0289
-12.58,1,0.0365
-8.444,0,0.0307
-10.661,1,0.0362
-17.76,1,0.0336
-12.179,0,0.0656
-15.217,1,0.0322
-10.64,1,0.193
-13.652,1,0.0309
-10.022,1,0.0294
-15.874,1,0.0304
-11.543,1,0.105
-14.884,1,0.0255
-14.34,1,0.0425
-8.675,1,0.0334
-18.439,1,0.0287
-17.292,1,0.0324
-11.234,0,0.094
-14.951,1,0.0343
-12.05,1,0.0334
-13.123,1,0.0394
-10.832,1,0.029
-12.026,1,0.0327
-14.996,1,0.0336
-10.365,0,0.029
-13.55,1,0.0349
-13.12,1,0.0434
-12.46,1,0.0329
-10.314,1,0.0261
-10.187,1,0.053
-16.568,1,0.0348
-14.553,1,0.0382
-23.807,1,0.0379
-14.272,1,0.0412
-10.413,1,0.0324
-12.093,1,0.0527
-18.427,1,0.0396
-10.962,1,0.0287
-13.455,1,0.049
-8.295,1,0.0288
-11.669,1,0.0323
-18.649,1,0.0443
-18.7,1,0.0389
-12.86,1,0.0346
-9.16,0,0.0759
-14.869,1,0.0765
-6.782,1,0.0378
-10.332,1,0.0293
-11.563,1,0.0317
-5.522,1,0.0735
-15.786,1,0.0315
-16.529,1,0.0332
-15.493,1,0.0525
-16.067,1,0.0318
-12.995,1,0.0304
-5.374,0,0.0444
-7.352,0,0.0501
-5.819,1,0.0412
-6.832,1,0.0343
-6.914,0,0.0525
-10.54,0,0.926
-4.399,1,0.117
-3.723,0,0.0933
-9.461,1,0.165
-5.028,1,0.088
-13.152,1,0.803
-5.081,1,0.0526
-3.883,0,0.143
-3.463,0,0.0306
-7.265,0,0.0451
-17.756,0,0.933
-5.562,1,0.0649
-14.597,1,0.0382
-9.032,1,0.0385
-4.382,1,0.0888
-15.646,0,0.895
-3.131,1,0.117
-5.231,1,0.099
-6.366,0,0.0335
-5.573,1,0.045
-15.68,0,0.935
-5.028,1,0.0986
-4.19,0,0.101
-2.903,0,0.0598
-1.644,0,0.111
-11.962,1,0.952
-5.134,0,0.145
-12.886,1,0.0344
-4.897,0,0.0728
-5.713,1,0.0288
-8.309,1,0.0364
-5.598,1,0.0419
-12.128,1,0.054
-3.194,1,0.062
-6.83,1,0.0966
-10.472,0,0.0289
-5.471,1,0.0258
-12.997,1,0.0342
-1.884,1,0.0384
-8.989,1,0.0337
-13.75,1,0.0322
-8.263,1,0.0406
-13.343,1,0.0379
-11.352,1,0.0305
-9.145,1,0.03
-9.236,0,0.0591
